Country Code,Province Code,Holiday Name,Type of Holiday,Date,Start,End
AL,,Dita e Alfabetit,observance,2019-11-22 00:00:00,2019-11-21T23:00:00.000Z,2019-11-22T23:00:00.000Z
AL,,Dita e Pavarësisë,public,2019-11-28 00:00:00,2019-11-27T23:00:00.000Z,2019-11-28T23:00:00.000Z
AL,,Dita e Çlirimit,public,2019-11-29 00:00:00,2019-11-28T23:00:00.000Z,2019-11-29T23:00:00.000Z
AL,,Dita Kombëtare e Rinisë,public,2019-12-08 00:00:00,2019-12-07T23:00:00.000Z,2019-12-08T23:00:00.000Z
AL,,Dita Kombëtare e Rinisë (ditë zëvendësuese),public,2019-12-09 00:00:00,2019-12-08T23:00:00.000Z,2019-12-09T23:00:00.000Z
AL,,Nata e Krishtlindjes,bank,2019-12-24 00:00:00,2019-12-23T23:00:00.000Z,2019-12-24T23:00:00.000Z
AL,,Krishtlindja,public,2019-12-25 00:00:00,2019-12-24T23:00:00.000Z,2019-12-25T23:00:00.000Z
AM,,Ամանոր,public,2018-01-01 00:00:00,2017-12-31T20:00:00.000Z,2018-01-02T20:00:00.000Z
AM,,Նախածննդյան տոներ,public,2018-01-03 00:00:00,2018-01-02T20:00:00.000Z,2018-01-05T20:00:00.000Z
AM,,Սուրբ Ծնունդ,public,2018-01-06 00:00:00,2018-01-05T20:00:00.000Z,2018-01-06T20:00:00.000Z
AM,,Բանակի օր,public,2018-01-28 00:00:00,2018-01-27T20:00:00.000Z,2018-01-28T20:00:00.000Z
AM,,Սուրբ Վարդանանց տոն՝ բարի գործի եւ ազգային տուրքի օր,observance,2018-02-08 00:00:00,2018-02-07T20:00:00.000Z,2018-02-08T20:00:00.000Z
AM,,Մայրենի լեզվի օր,observance,2018-02-21 00:00:00,2018-02-20T20:00:00.000Z,2018-02-21T20:00:00.000Z
AM,,Կանանց տոն,public,2018-03-08 00:00:00,2018-03-07T20:00:00.000Z,2018-03-08T20:00:00.000Z
AM,,"Մայրության, գեղեցկության եւ սիրո տոն",observance,2018-04-07 00:00:00,2018-04-06T20:00:00.000Z,2018-04-07T20:00:00.000Z
AM,,Ցեղասպանության զոհերի հիշատակի օր,public,2018-04-24 00:00:00,2018-04-23T20:00:00.000Z,2018-04-24T20:00:00.000Z
AM,,Աշխատանքի օր,public,2018-05-01 00:00:00,2018-04-30T20:00:00.000Z,2018-05-01T20:00:00.000Z
AM,,Երկրապահի օր,observance,2018-05-08 00:00:00,2018-05-07T20:00:00.000Z,2018-05-08T20:00:00.000Z
AM,,Հաղթանակի եւ Խաղաղության տոն,public,2018-05-09 00:00:00,2018-05-08T20:00:00.000Z,2018-05-09T20:00:00.000Z
AM,,Հանրապետության օր,public,2018-05-28 00:00:00,2018-05-27T20:00:00.000Z,2018-05-28T20:00:00.000Z
AM,,Երեխաների իրավունքների պաշտպանության օր,observance,2018-06-01 00:00:00,2018-05-31T20:00:00.000Z,2018-06-01T20:00:00.000Z
AM,,Սահմանադրության օր,public,2018-07-05 00:00:00,2018-07-04T20:00:00.000Z,2018-07-05T20:00:00.000Z
AM,,"Գիտելիքի, գրի եւ դպրության օր",observance,2018-09-01 00:00:00,2018-08-31T20:00:00.000Z,2018-09-01T20:00:00.000Z
AM,,Անկախության օր,public,2018-09-21 00:00:00,2018-09-20T20:00:00.000Z,2018-09-21T20:00:00.000Z
AM,,Թարգմանչաց տոն,observance,2018-10-13 00:00:00,2018-10-12T20:00:00.000Z,2018-10-13T20:00:00.000Z
AM,,Երկրաշարժի զոհերի հիշատակի օր,observance,2018-12-07 00:00:00,2018-12-06T20:00:00.000Z,2018-12-07T20:00:00.000Z
AM,,Նոր տարվա գիշեր,public,2018-12-31 00:00:00,2018-12-30T20:00:00.000Z,2018-12-31T20:00:00.000Z
AM,,Ամանոր,public,2019-01-01 00:00:00,2018-12-31T20:00:00.000Z,2019-01-02T20:00:00.000Z
AM,,Նախածննդյան տոներ,public,2019-01-03 00:00:00,2019-01-02T20:00:00.000Z,2019-01-05T20:00:00.000Z
AM,,Սուրբ Ծնունդ,public,2019-01-06 00:00:00,2019-01-05T20:00:00.000Z,2019-01-06T20:00:00.000Z
AM,,Բանակի օր,public,2019-01-28 00:00:00,2019-01-27T20:00:00.000Z,2019-01-28T20:00:00.000Z
AM,,Մայրենի լեզվի օր,observance,2019-02-21 00:00:00,2019-02-20T20:00:00.000Z,2019-02-21T20:00:00.000Z
AM,,Սուրբ Վարդանանց տոն՝ բարի գործի եւ ազգային տուրքի օր,observance,2019-02-28 00:00:00,2019-02-27T20:00:00.000Z,2019-02-28T20:00:00.000Z
AM,,Կանանց տոն,public,2019-03-08 00:00:00,2019-03-07T20:00:00.000Z,2019-03-08T20:00:00.000Z
AM,,"Մայրության, գեղեցկության եւ սիրո տոն",observance,2019-04-07 00:00:00,2019-04-06T20:00:00.000Z,2019-04-07T20:00:00.000Z
AM,,Ցեղասպանության զոհերի հիշատակի օր,public,2019-04-24 00:00:00,2019-04-23T20:00:00.000Z,2019-04-24T20:00:00.000Z
AM,,Աշխատանքի օր,public,2019-05-01 00:00:00,2019-04-30T20:00:00.000Z,2019-05-01T20:00:00.000Z
AM,,Երկրապահի օր,observance,2019-05-08 00:00:00,2019-05-07T20:00:00.000Z,2019-05-08T20:00:00.000Z
AM,,Հաղթանակի եւ Խաղաղության տոն,public,2019-05-09 00:00:00,2019-05-08T20:00:00.000Z,2019-05-09T20:00:00.000Z
AM,,Հանրապետության օր,public,2019-05-28 00:00:00,2019-05-27T20:00:00.000Z,2019-05-28T20:00:00.000Z
AM,,Երեխաների իրավունքների պաշտպանության օր,observance,2019-06-01 00:00:00,2019-05-31T20:00:00.000Z,2019-06-01T20:00:00.000Z
AM,,Սահմանադրության օր,public,2019-07-05 00:00:00,2019-07-04T20:00:00.000Z,2019-07-05T20:00:00.000Z
AM,,"Գիտելիքի, գրի եւ դպրության օր",observance,2019-09-01 00:00:00,2019-08-31T20:00:00.000Z,2019-09-01T20:00:00.000Z
AM,,Անկախության օր,public,2019-09-21 00:00:00,2019-09-20T20:00:00.000Z,2019-09-21T20:00:00.000Z
AM,,Թարգմանչաց տոն,observance,2019-10-12 00:00:00,2019-10-11T20:00:00.000Z,2019-10-12T20:00:00.000Z
AM,,Երկրաշարժի զոհերի հիշատակի օր,observance,2019-12-07 00:00:00,2019-12-06T20:00:00.000Z,2019-12-07T20:00:00.000Z
AM,,Նոր տարվա գիշեր,public,2019-12-31 00:00:00,2019-12-30T20:00:00.000Z,2019-12-31T20:00:00.000Z
AO,,Ano Novo,public,2018-01-01 00:00:00,2017-12-31T23:00:00.000Z,2018-01-01T23:00:00.000Z
AO,,Dia do Início da Luta Armada de Libertação Nacional,public,2018-02-04 00:00:00,2018-02-03T23:00:00.000Z,2018-02-04T23:00:00.000Z
AO,,Carnaval,public,2018-02-13 00:00:00,2018-02-12T23:00:00.000Z,2018-02-13T23:00:00.000Z
AO,,Dia Internacional da Mulher,public,2018-03-08 00:00:00,2018-03-07T23:00:00.000Z,2018-03-08T23:00:00.000Z
AO,,Sexta-Feira Santa,public,2018-03-30 00:00:00,2018-03-29T23:00:00.000Z,2018-03-30T23:00:00.000Z
AO,,Páscoa,observance,2018-04-01 00:00:00,2018-03-31T23:00:00.000Z,2018-04-01T23:00:00.000Z
AO,,Dia da Paz,public,2018-04-04 00:00:00,2018-04-03T23:00:00.000Z,2018-04-04T23:00:00.000Z
AO,,Dia do trabalhador,public,2018-05-01 00:00:00,2018-04-30T23:00:00.000Z,2018-05-01T23:00:00.000Z
AO,,Dia das Mães,observance,2018-05-06 00:00:00,2018-05-05T23:00:00.000Z,2018-05-06T23:00:00.000Z
AO,,Fundador da Nação e Dia dos Heróis Nacionais,public,2018-09-17 00:00:00,2018-09-16T23:00:00.000Z,2018-09-17T23:00:00.000Z
AO,,Dia de Finados,public,2018-11-02 00:00:00,2018-11-01T23:00:00.000Z,2018-11-02T23:00:00.000Z
AO,,Dia da Independência,public,2018-11-11 00:00:00,2018-11-10T23:00:00.000Z,2018-11-11T23:00:00.000Z
AO,,Natal,public,2018-12-25 00:00:00,2018-12-24T23:00:00.000Z,2018-12-25T23:00:00.000Z
AO,,Ano Novo,public,2019-01-01 00:00:00,2018-12-31T23:00:00.000Z,2019-01-01T23:00:00.000Z
AO,,Dia do Início da Luta Armada de Libertação Nacional,public,2019-02-04 00:00:00,2019-02-03T23:00:00.000Z,2019-02-04T23:00:00.000Z
AO,,Carnaval,public,2019-03-05 00:00:00,2019-03-04T23:00:00.000Z,2019-03-05T23:00:00.000Z
AO,,Dia Internacional da Mulher,public,2019-03-08 00:00:00,2019-03-07T23:00:00.000Z,2019-03-08T23:00:00.000Z
AO,,Dia da Paz,public,2019-04-04 00:00:00,2019-04-03T23:00:00.000Z,2019-04-04T23:00:00.000Z
AO,,Sexta-Feira Santa,public,2019-04-19 00:00:00,2019-04-18T23:00:00.000Z,2019-04-19T23:00:00.000Z
AO,,Páscoa,observance,2019-04-21 00:00:00,2019-04-20T23:00:00.000Z,2019-04-21T23:00:00.000Z
AO,,Dia do trabalhador,public,2019-05-01 00:00:00,2019-04-30T23:00:00.000Z,2019-05-01T23:00:00.000Z
AO,,Dia das Mães,observance,2019-05-05 00:00:00,2019-05-04T23:00:00.000Z,2019-05-05T23:00:00.000Z
AO,,Fundador da Nação e Dia dos Heróis Nacionais,public,2019-09-17 00:00:00,2019-09-16T23:00:00.000Z,2019-09-17T23:00:00.000Z
AO,,Dia de Finados,public,2019-11-02 00:00:00,2019-11-01T23:00:00.000Z,2019-11-02T23:00:00.000Z
AO,,Dia da Independência,public,2019-11-11 00:00:00,2019-11-10T23:00:00.000Z,2019-11-11T23:00:00.000Z
AO,,Natal,public,2019-12-25 00:00:00,2019-12-24T23:00:00.000Z,2019-12-25T23:00:00.000Z
AR,,Año Nuevo,public,2018-01-01 00:00:00,2018-01-01T03:00:00.000Z,2018-01-02T03:00:00.000Z
AR,,Carnaval,public,2018-02-12 00:00:00,2018-02-12T03:00:00.000Z,2018-02-13T03:00:00.000Z
AR,,Carnaval,public,2018-02-13 00:00:00,2018-02-13T03:00:00.000Z,2018-02-14T03:00:00.000Z
